symbol,date,close
CSU,2024-11-05,4251.02
CSU,2024-11-06,4345
CSU,2024-11-07,4398.39
CSU,2024-11-08,4357
CSU,2024-11-11,4454.39
CSU,2024-11-12,4489.9
CSU,2024-11-13,4572.98
CSU,2024-11-14,4488.16
CSU,2024-11-15,4420.89
CSU,2024-11-18,4449.27
CSU,2024-11-19,4436.1
CSU,2024-11-20,4503.07
CSU,2024-11-21,4644.55
CSU,2024-11-22,4587.9
CSU,2024-11-25,4608.28
CSU,2024-11-26,4679.01
CSU,2024-11-27,4721.57
CSU,2024-11-28,4700
CSU,2024-11-29,4734.16
CSU,2024-12-02,4790.3
CSU,2024-12-03,4650.03
CSU,2024-12-04,4735.49
CSU,2024-12-05,4708.14
CSU,2024-12-06,4698.66
CSU,2024-12-09,4702.43
CSU,2024-12-10,4625.54
CSU,2024-12-11,4687.1
CSU,2024-12-12,4650.05
CSU,2024-12-13,4659.43
CSU,2024-12-16,4621.89
CSU,2024-12-17,4656.93
CSU,2024-12-18,4467.12
CSU,2024-12-19,4423.74
CSU,2024-12-20,4452.56
CSU,2024-12-23,4510.27
CSU,2024-12-24,4547.45
CSU,2024-12-27,4534.73
CSU,2024-12-30,4475.67
CSU,2024-12-31,4444.91
CTC.A,2024-09-03,152.9
CTC.A,2024-09-04,155.45
CTC.A,2024-09-05,156.25
CTC.A,2024-09-06,156
CTC.A,2024-09-09,156.54
CTC.A,2024-09-10,154.82
CTC.A,2024-09-11,157.24
CTC.A,2024-09-12,158.72
CTC.A,2024-09-13,158.81
CTC.A,2024-09-16,157.83
CTC.A,2024-09-17,158.82
CTC.A,2024-09-18,158.6
CTC.A,2024-09-19,158.52
CTC.A,2024-09-20,158.78
CTC.A,2024-09-23,159.1
CTC.A,2024-09-24,159.68
CTC.A,2024-09-25,157.7
CTC.A,2024-09-26,161
CTC.A,2024-09-27,161.2
CTC.A,2024-09-30,162.09
CTC.A,2024-10-01,161.56
CTC.A,2024-10-02,161.42
CTC.A,2024-10-03,159.31
CTC.A,2024-10-04,158.13
CTC.A,2024-10-07,157.53
CTC.A,2024-10-08,158.29
CTC.A,2024-10-09,158.7
CTC.A,2024-10-10,157.51
CTC.A,2024-10-11,158.95
CTC.A,2024-10-15,157.81
CTC.A,2024-10-16,157.53
CTC.A,2024-10-17,158.81
CTC.A,2024-10-18,159.72
CTC.A,2024-10-21,159.73
CTC.A,2024-10-22,158.62
CTC.A,2024-10-23,158.15
CTC.A,2024-10-24,158.16
CTC.A,2024-10-25,156.92
CTC.A,2024-10-28,158.11
CTC.A,2024-10-29,153.31
